college_id,college_name,short_name,city,state,tier,nirf_rank,campus_rating,tuition_fee_annual_lakhs,hostel_fee_annual_lakhs,avg_placement_lpa,median_placement_lpa,highest_placement_lpa,placement_rate_pct,accreditation,scholarship_available
21,VIT Vellore,VIT,Vellore,Tamil Nadu,Tier 2,11,4.4,2.45,1.15,9.8,8.5,0.42,88.5,NAAC A+,Yes
22,SRM Institute of Science and Technology,SRM,Chennai,Tamil Nadu,Tier 2,28,4.2,2.6,1.25,8.5,7.2,0.38,85.0,NAAC A+,Yes
23,Manipal Institute of Technology,MIT,Manipal,Karnataka,Tier 2,45,4.35,3.85,1.4,11.5,9.8,0.45,89.0,NAAC A+,Yes
24,Thapar Institute of Engg & Tech,TIET,Patiala,Punjab,Tier 2,20,4.3,4.2,1.3,12.0,10.2,0.48,89.5,NAAC A+,Yes
25,Jadavpur University,JU,Kolkata,West Bengal,Tier 2,10,4.7,0.25,0.15,15.8,13.5,0.65,94.0,NAAC A+,Yes
26,College of Engg Guindy,CEG,Chennai,Tamil Nadu,Tier 2,22,4.6,0.35,0.2,12.0,10.0,0.45,91.0,NAAC A+,Yes
27,MS Ramaiah Institute of Technology,MSRIT,Bengaluru,Karnataka,Tier 2,78,4.3,3.1,1.0,11.2,9.5,0.42,88.0,NAAC A+,Yes
28,PES University,PESU,Bengaluru,Karnataka,Tier 2,100,4.25,4.5,1.2,11.8,10.0,0.45,88.5,NAAC A+,Yes
29,SSN College of Engineering,SSN,Chennai,Tamil Nadu,Tier 2,45,4.4,1.8,0.7,10.5,9.0,0.4,89.5,NAAC A+,Yes
30,Kalinga Institute of Industrial Tech,KIIT,Bhubaneswar,Odisha,Tier 2,39,4.15,3.5,1.1,8.2,7.0,0.35,84.0,NAAC A+,Yes
31,Metropolitan Bhubaneswar Institute of Technology,METBHU,Bhubaneswar,Odisha,Tier 3,116,3.7,1.52,0.45,7.46,6.52,22.14,72.5,NAAC A,Yes
32,Horizon Pune College of Engineering,HORPUN,Pune,Maharashtra,Tier 2,117,3.95,3.93,0.75,9.18,7.94,23.52,85.9,NAAC A+,Yes
33,Imperial Hyderabad University of Engineering,IMPHYD,Hyderabad,Telangana,Tier 3,118,3.62,3.4,0.57,4.87,4.04,16.08,81.7,NAAC A,Yes
34,Summit Bengaluru Institute of Technology,SUMBEN,Bengaluru,Karnataka,Tier 3,119,3.56,1.87,0.71,8.04,6.88,19.7,73.1,NAAC A,No
35,Horizon Bhubaneswar University of Engineering,HORBHU,Bhubaneswar,Odisha,Tier 2,120,4.18,4.23,0.59,9.31,8.41,22.45,77.7,NAAC A+,Yes
36,Pioneer Bhubaneswar Institute of Technology,PIOBHU,Bhubaneswar,Odisha,Tier 3,121,3.93,1.76,0.63,5.58,5.09,17.27,75.5,NAAC A,Yes
37,National Ahmedabad College of Engineering,NATAHM,Ahmedabad,Gujarat,Tier 2,122,4.14,3.3,0.43,11.15,9.78,34.94,75.4,NAAC A+,Yes
38,Imperial Indore Polytechnic & Tech Campus,IMPIND,Indore,Madhya Pradesh,Tier 3,123,3.71,1.77,0.68,5.55,4.88,18.69,78.4,NAAC A,No
39,Apex Chennai Polytechnic & Tech Campus,APECHE,Chennai,Tamil Nadu,Tier 2,124,4.1,4.22,0.48,8.14,7.23,24.22,78.2,NAAC A+,Yes
40,Summit Chandigarh University of Engineering,SUMCHA,Chandigarh,Punjab,Tier 2,125,4.04,2.73,0.84,10.5,9.42,27.74,76.7,NAAC A+,Yes
41,Summit Hyderabad Institute of Technology,SUMHYD,Hyderabad,Telangana,Tier 3,126,4.28,2.95,0.65,4.93,4.35,16.24,80.1,NAAC A,No
42,Apex Chennai University of Engineering,APECHE,Chennai,Tamil Nadu,Tier 3,127,3.93,2.99,0.67,4.5,3.84,10.01,86.9,NAAC A,No
43,Horizon Noida Institute of Technology,HORNOI,Noida,Uttar Pradesh,Tier 3,128,4.2,3.38,0.44,6.44,5.33,20.54,84.3,NAAC A,Yes
44,Summit Hyderabad College of Engineering,SUMHYD,Hyderabad,Telangana,Tier 3,129,3.92,2.6,0.88,8.22,7.36,25.46,83.4,NAAC A,No
45,Global Kochi Polytechnic & Tech Campus,GLOKOC,Kochi,Kerala,Tier 3,130,3.6,1.72,0.57,6.85,5.77,17.03,73.1,NAAC A,No
46,National Bhubaneswar College of Engineering,NATBHU,Bhubaneswar,Odisha,Tier 2,131,4.22,4.22,0.44,8.45,7.49,20.94,74.1,NAAC A+,Yes
47,Zenith Chandigarh Polytechnic & Tech Campus,ZENCHA,Chandigarh,Punjab,Tier 3,132,4.13,3.06,0.5,4.89,4.22,13.45,79.5,NAAC A,No
48,National Lucknow Institute of Technology,NATLUC,Lucknow,Uttar Pradesh,Tier 2,133,3.82,3.18,0.83,8.49,7.12,23.63,78.8,NAAC A+,Yes
49,Summit Noida College of Engineering,SUMNOI,Noida,Uttar Pradesh,Tier 2,134,3.85,4.22,0.68,7.7,7.08,25.31,87.5,NAAC A+,Yes
50,Apex Chennai Polytechnic & Tech Campus,APECHE,Chennai,Tamil Nadu,Tier 3,135,3.89,3.19,0.85,5.16,4.23,13.97,86.8,NAAC A,Yes
51,Pioneer Indore Polytechnic & Tech Campus,PIOIND,Indore,Madhya Pradesh,Tier 3,136,3.62,1.88,0.88,6.82,5.96,21.64,72.9,NAAC A,Yes
52,Summit Chandigarh College of Engineering,SUMCHA,Chandigarh,Punjab,Tier 2,137,4.27,2.66,0.49,9.88,8.77,24.76,73.9,NAAC A+,Yes
53,Horizon Chandigarh Institute of Technology,HORCHA,Chandigarh,Punjab,Tier 2,138,3.84,3.67,0.66,11.24,9.45,35.19,75.8,NAAC A+,Yes
54,Apex Kochi University of Engineering,APEKOC,Kochi,Kerala,Tier 3,139,3.75,2.93,0.44,6.33,5.82,22.12,73.2,NAAC A,Yes
55,Vanguard Chennai University of Engineering,VANCHE,Chennai,Tamil Nadu,Tier 3,140,4.25,3.23,0.84,5.98,5.0,19.64,83.3,NAAC A,No
56,Vanguard Chandigarh Institute of Technology,VANCHA,Chandigarh,Punjab,Tier 3,141,4.25,1.44,0.84,5.56,5.05,17.6,74.5,NAAC A,Yes
57,Zenith Noida College of Engineering,ZENNOI,Noida,Uttar Pradesh,Tier 3,142,3.66,2.66,0.53,6.45,5.87,21.28,73.5,NAAC A,Yes
58,Pioneer Kochi Institute of Technology,PIOKOC,Kochi,Kerala,Tier 2,143,3.77,2.76,0.89,8.15,7.04,25.41,81.0,NAAC A+,Yes
59,Metropolitan Pune College of Engineering,METPUN,Pune,Maharashtra,Tier 2,144,4.17,3.67,0.47,8.01,6.82,26.98,84.7,NAAC A+,Yes
60,Global Bengaluru College of Engineering,GLOBEN,Bengaluru,Karnataka,Tier 3,145,4.03,2.01,0.68,8.0,7.34,25.39,86.8,NAAC A,No
61,Apex Chennai College of Engineering,APECHE,Chennai,Tamil Nadu,Tier 3,146,3.52,2.89,0.57,8.22,7.4,27.32,85.0,NAAC A,No
62,Apex Noida Institute of Technology,APENOI,Noida,Uttar Pradesh,Tier 3,147,4.2,3.17,0.51,7.77,6.73,20.18,84.7,NAAC A,Yes
63,Horizon Chennai Institute of Technology,HORCHE,Chennai,Tamil Nadu,Tier 3,148,3.82,1.84,0.43,7.59,6.49,21.72,82.9,NAAC A,No
64,Global Jaipur Institute of Technology,GLOJAI,Jaipur,Rajasthan,Tier 2,149,4.2,3.02,0.69,11.43,9.42,34.01,77.5,NAAC A+,Yes
65,Imperial Ahmedabad Institute of Technology,IMPAHM,Ahmedabad,Gujarat,Tier 3,150,4.22,1.64,0.42,6.24,5.44,20.27,83.0,NAAC A,Yes
66,Horizon Lucknow University of Engineering,HORLUC,Lucknow,Uttar Pradesh,Tier 3,151,3.56,2.73,0.57,5.76,5.21,18.06,76.8,NAAC A,No
67,Imperial Noida University of Engineering,IMPNOI,Noida,Uttar Pradesh,Tier 3,152,4.06,2.48,0.5,7.16,6.14,22.72,74.8,NAAC A,Yes
68,Pioneer Chandigarh Polytechnic & Tech Campus,PIOCHA,Chandigarh,Punjab,Tier 2,153,3.74,2.92,0.79,9.93,8.46,27.55,82.8,NAAC A+,Yes
69,Summit Jaipur College of Engineering,SUMJAI,Jaipur,Rajasthan,Tier 2,154,3.73,3.83,0.71,7.87,7.2,19.72,77.0,NAAC A+,Yes
70,Apex Chennai Institute of Technology,APECHE,Chennai,Tamil Nadu,Tier 2,155,3.7,3.45,0.82,7.79,6.71,23.52,75.1,NAAC A+,Yes
71,Imperial Lucknow Polytechnic & Tech Campus,IMPLUC,Lucknow,Uttar Pradesh,Tier 3,156,3.7,2.71,0.4,7.5,6.73,17.54,78.8,NAAC A,No
72,Vanguard Hyderabad Polytechnic & Tech Campus,VANHYD,Hyderabad,Telangana,Tier 2,157,3.95,4.33,0.46,8.03,6.96,23.21,80.9,NAAC A+,Yes
73,Summit Ahmedabad Polytechnic & Tech Campus,SUMAHM,Ahmedabad,Gujarat,Tier 3,158,4.22,2.91,0.64,5.54,4.68,16.78,84.3,NAAC A,Yes
74,Summit Jaipur College of Engineering,SUMJAI,Jaipur,Rajasthan,Tier 3,159,3.85,2.84,0.52,5.84,5.31,13.46,74.4,NAAC A,Yes
75,Apex Kochi College of Engineering,APEKOC,Kochi,Kerala,Tier 2,160,3.83,3.16,0.63,7.75,7.0,20.97,84.3,NAAC A+,Yes
76,National Lucknow Polytechnic & Tech Campus,NATLUC,Lucknow,Uttar Pradesh,Tier 3,161,3.5,2.01,0.78,7.91,7.24,21.71,84.0,NAAC A,No
77,Zenith Jaipur College of Engineering,ZENJAI,Jaipur,Rajasthan,Tier 3,162,3.68,2.2,0.41,5.84,5.19,15.92,74.6,NAAC A,No
78,Apex Indore Institute of Technology,APEIND,Indore,Madhya Pradesh,Tier 3,163,3.97,2.72,0.44,6.21,5.63,15.13,76.2,NAAC A,No
79,Horizon Ahmedabad Polytechnic & Tech Campus,HORAHM,Ahmedabad,Gujarat,Tier 3,164,3.77,3.22,0.54,8.3,7.16,27.27,79.5,NAAC A,No
80,Vanguard Lucknow Institute of Technology,VANLUC,Lucknow,Uttar Pradesh,Tier 3,165,3.68,1.36,0.88,4.66,3.84,11.75,85.4,NAAC A,Yes
81,Apex Chandigarh College of Engineering,APECHA,Chandigarh,Punjab,Tier 3,166,3.88,1.46,0.87,6.36,5.38,17.04,81.7,NAAC A,Yes
82,Metropolitan Lucknow College of Engineering,METLUC,Lucknow,Uttar Pradesh,Tier 3,167,3.59,1.26,0.56,7.21,6.6,19.58,83.4,NAAC A,Yes
83,Zenith Pune College of Engineering,ZENPUN,Pune,Maharashtra,Tier 2,168,4.06,3.1,0.74,10.72,9.64,31.47,72.7,NAAC A+,Yes
84,Imperial Jaipur University of Engineering,IMPJAI,Jaipur,Rajasthan,Tier 2,169,3.9,3.18,0.82,10.79,8.96,37.21,82.2,NAAC A+,Yes
85,Apex Indore Polytechnic & Tech Campus,APEIND,Indore,Madhya Pradesh,Tier 3,170,4.09,3.42,0.54,7.73,6.75,21.86,79.0,NAAC A,No
86,Zenith Lucknow University of Engineering,ZENLUC,Lucknow,Uttar Pradesh,Tier 3,171,4.18,3.11,0.44,8.03,6.78,22.52,81.8,NAAC A,Yes
87,Global Kochi Institute of Technology,GLOKOC,Kochi,Kerala,Tier 3,172,4.18,1.62,0.51,7.69,6.57,25.72,83.2,NAAC A,Yes
88,Vanguard Noida Institute of Technology,VANNOI,Noida,Uttar Pradesh,Tier 3,173,3.57,2.86,0.64,7.53,6.69,22.89,79.9,NAAC A,Yes
89,Metropolitan Bengaluru University of Engineering,METBEN,Bengaluru,Karnataka,Tier 3,174,3.82,1.76,0.73,5.98,5.23,15.83,87.9,NAAC A,Yes
90,Global Jaipur University of Engineering,GLOJAI,Jaipur,Rajasthan,Tier 3,175,3.72,1.78,0.46,5.27,4.38,15.27,84.2,NAAC A,Yes
91,Horizon Hyderabad College of Engineering,HORHYD,Hyderabad,Telangana,Tier 3,176,3.72,2.56,0.78,6.89,6.33,22.62,76.7,NAAC A,No
92,Apex Ahmedabad University of Engineering,APEAHM,Ahmedabad,Gujarat,Tier 2,177,4.07,2.75,0.42,7.72,6.56,26.46,82.2,NAAC A+,Yes
93,Metropolitan Indore Institute of Technology,METIND,Indore,Madhya Pradesh,Tier 3,178,3.88,2.21,0.49,4.71,4.31,13.29,85.2,NAAC A,No
94,Summit Kochi Institute of Technology,SUMKOC,Kochi,Kerala,Tier 2,179,3.62,4.12,0.87,7.84,6.62,22.94,78.7,NAAC A+,Yes
95,Zenith Chandigarh College of Engineering,ZENCHA,Chandigarh,Punjab,Tier 3,180,3.86,2.22,0.83,8.46,7.2,25.44,81.8,NAAC A,No
96,Metropolitan Lucknow College of Engineering,METLUC,Lucknow,Uttar Pradesh,Tier 3,181,3.71,1.39,0.52,6.71,5.61,18.33,83.0,NAAC A,No
97,Pioneer Indore Institute of Technology,PIOIND,Indore,Madhya Pradesh,Tier 3,182,3.73,1.85,0.83,4.78,4.03,12.16,84.7,NAAC A,Yes
98,Horizon Chandigarh Polytechnic & Tech Campus,HORCHA,Chandigarh,Punjab,Tier 2,183,3.94,3.8,0.85,10.81,8.94,26.11,76.9,NAAC A+,Yes
99,Zenith Lucknow University of Engineering,ZENLUC,Lucknow,Uttar Pradesh,Tier 3,184,3.6,2.78,0.75,8.27,7.2,23.5,73.3,NAAC A,No
100,Imperial Bengaluru University of Engineering,IMPBEN,Bengaluru,Karnataka,Tier 3,185,3.52,1.73,0.74,7.94,6.98,17.68,84.2,NAAC A,No
101,Zenith Noida Institute of Technology,ZENNOI,Noida,Uttar Pradesh,Tier 3,186,3.88,2.7,0.86,5.23,4.59,15.82,79.9,NAAC A,No
102,Summit Pune University of Engineering,SUMPUN,Pune,Maharashtra,Tier 3,187,3.77,2.74,0.83,5.82,5.18,14.98,87.1,NAAC A,Yes
103,National Jaipur Polytechnic & Tech Campus,NATJAI,Jaipur,Rajasthan,Tier 2,188,3.75,3.15,0.89,9.12,7.95,31.78,82.5,NAAC A+,Yes
104,Summit Jaipur Polytechnic & Tech Campus,SUMJAI,Jaipur,Rajasthan,Tier 2,189,3.65,3.22,0.78,10.0,8.96,24.65,80.8,NAAC A+,Yes
105,Summit Noida Polytechnic & Tech Campus,SUMNOI,Noida,Uttar Pradesh,Tier 2,190,3.52,3.76,0.8,10.34,8.8,22.93,78.5,NAAC A+,Yes
106,Metropolitan Chennai Polytechnic & Tech Campus,METCHE,Chennai,Tamil Nadu,Tier 2,191,4.02,2.81,0.87,8.67,7.72,23.76,79.7,NAAC A+,Yes
107,Horizon Indore Polytechnic & Tech Campus,HORIND,Indore,Madhya Pradesh,Tier 3,192,3.81,3.32,0.65,8.02,7.27,20.52,84.6,NAAC A,Yes
108,Global Kochi University of Engineering,GLOKOC,Kochi,Kerala,Tier 2,193,3.73,3.1,0.69,11.5,9.99,27.52,80.6,NAAC A+,Yes
109,Global Ahmedabad Polytechnic & Tech Campus,GLOAHM,Ahmedabad,Gujarat,Tier 3,194,4.25,3.2,0.89,5.46,4.69,18.09,78.6,NAAC A,Yes
110,Summit Ahmedabad Polytechnic & Tech Campus,SUMAHM,Ahmedabad,Gujarat,Tier 3,195,4.29,3.02,0.73,5.11,4.68,12.08,87.4,NAAC A,Yes
111,Metropolitan Ahmedabad Polytechnic & Tech Campus,METAHM,Ahmedabad,Gujarat,Tier 2,196,3.92,3.41,0.76,9.14,8.09,21.94,79.5,NAAC A+,Yes
112,Global Noida Polytechnic & Tech Campus,GLONOI,Noida,Uttar Pradesh,Tier 2,197,4.18,4.2,0.83,9.02,7.68,28.27,84.2,NAAC A+,Yes
113,National Jaipur Institute of Technology,NATJAI,Jaipur,Rajasthan,Tier 3,198,4.0,3.32,0.9,7.49,6.47,17.44,82.1,NAAC A,Yes
114,Summit Pune College of Engineering,SUMPUN,Pune,Maharashtra,Tier 3,199,4.22,1.31,0.8,5.67,4.86,13.55,80.5,NAAC A,Yes
115,Apex Chandigarh College of Engineering,APECHA,Chandigarh,Punjab,Tier 3,200,3.56,3.2,0.71,5.46,4.98,13.03,79.4,NAAC A,No
116,Summit Noida University of Engineering,SUMNOI,Noida,Uttar Pradesh,Tier 2,201,4.22,3.43,0.54,9.69,8.02,33.23,87.8,NAAC A+,Yes
117,Imperial Noida University of Engineering,IMPNOI,Noida,Uttar Pradesh,Tier 3,202,4.18,1.66,0.59,6.43,5.43,18.93,81.2,NAAC A,No
118,Pioneer Lucknow Institute of Technology,PIOLUC,Lucknow,Uttar Pradesh,Tier 3,203,3.72,2.5,0.74,7.48,6.17,22.35,79.9,NAAC A,No
119,Horizon Noida University of Engineering,HORNOI,Noida,Uttar Pradesh,Tier 3,204,4.01,2.63,0.74,7.38,6.54,24.28,82.1,NAAC A,No
120,National Bhubaneswar University of Engineering,NATBHU,Bhubaneswar,Odisha,Tier 3,205,3.53,2.04,0.47,8.14,6.94,22.3,75.2,NAAC A,No
121,Global Jaipur University of Engineering,GLOJAI,Jaipur,Rajasthan,Tier 3,206,3.71,3.1,0.64,7.73,6.92,20.41,73.8,NAAC A,No
122,Apex Pune College of Engineering,APEPUN,Pune,Maharashtra,Tier 3,207,4.27,3.05,0.58,7.66,6.29,22.2,79.3,NAAC A,No
123,Pioneer Bhubaneswar Polytechnic & Tech Campus,PIOBHU,Bhubaneswar,Odisha,Tier 3,208,3.59,1.74,0.41,8.04,7.04,27.25,75.5,NAAC A,Yes
124,Summit Pune University of Engineering,SUMPUN,Pune,Maharashtra,Tier 3,209,3.59,1.3,0.42,8.48,7.05,21.24,80.6,NAAC A,Yes
125,Summit Kochi University of Engineering,SUMKOC,Kochi,Kerala,Tier 3,210,3.97,2.87,0.84,7.12,6.43,21.36,87.0,NAAC A,No
126,National Noida University of Engineering,NATNOI,Noida,Uttar Pradesh,Tier 3,211,3.85,3.39,0.83,4.9,4.35,14.25,87.6,NAAC A,No
127,National Ahmedabad Polytechnic & Tech Campus,NATAHM,Ahmedabad,Gujarat,Tier 3,212,3.65,1.48,0.82,6.32,5.6,19.18,81.6,NAAC A,Yes
128,National Bengaluru University of Engineering,NATBEN,Bengaluru,Karnataka,Tier 3,213,4.29,3.01,0.5,7.82,6.85,23.17,85.0,NAAC A,No
129,Global Chennai College of Engineering,GLOCHE,Chennai,Tamil Nadu,Tier 2,214,3.72,4.47,0.89,9.66,8.69,22.63,85.9,NAAC A+,Yes
130,National Hyderabad University of Engineering,NATHYD,Hyderabad,Telangana,Tier 3,215,3.97,1.24,0.53,5.01,4.32,11.76,73.0,NAAC A,No
131,Global Indore Institute of Technology,GLOIND,Indore,Madhya Pradesh,Tier 3,216,3.9,3.37,0.42,7.63,6.92,21.96,79.3,NAAC A,No
132,National Bengaluru Polytechnic & Tech Campus,NATBEN,Bengaluru,Karnataka,Tier 3,217,3.84,1.45,0.76,6.27,5.71,16.42,74.4,NAAC A,Yes
133,Pioneer Hyderabad University of Engineering,PIOHYD,Hyderabad,Telangana,Tier 3,218,4.3,2.42,0.63,6.92,5.74,21.54,85.6,NAAC A,Yes
134,Vanguard Bhubaneswar College of Engineering,VANBHU,Bhubaneswar,Odisha,Tier 3,219,3.86,1.73,0.57,6.31,5.44,14.66,78.8,NAAC A,No
135,Pioneer Bhubaneswar University of Engineering,PIOBHU,Bhubaneswar,Odisha,Tier 3,220,4.05,2.29,0.45,4.84,4.18,15.33,78.0,NAAC A,Yes
