student_id,entrance_rank,category,preferred_branch,preferred_state,annual_budget_lakhs,hostel_needed,college_id,college_name,tier,branch_id,branch_code,closing_rank,tuition_fee,avg_placement_lpa,admitted
104,6305,OBC,BIOTECH,Madhya Pradesh,5.84,1,59,Metropolitan Pune College of Engineering,Tier 2,10,BIOTECH,4561,3.67,8.01,0
105,7153,OBC,CHE,Assam,3.03,1,3,IIT Madras,Tier 1,8,CHE,472,2.3,24.0,0
106,21465,OBC,IT,Tamil Nadu,1.27,0,8,BITS Pilani,Tier 1,4,IT,577,5.5,22.0,0
107,3763,General,IT,Punjab,4.4,0,12,VNIT Nagpur,Tier 1,4,IT,320,1.75,13.5,0
108,21400,SC,CSE,Assam,2.85,1,134,Vanguard Bhubaneswar College of Engineering,Tier 3,1,CSE,55110,1.73,6.31,1
109,27587,General,AERO,Odisha,4.41,1,28,PES University,Tier 2,9,AERO,2950,4.5,11.8,0
110,12341,General,AERO,Uttar Pradesh,2.02,0,94,Summit Kochi Institute of Technology,Tier 2,9,AERO,3064,4.12,7.84,0
111,11710,OBC,AI_DS,Delhi,1.74,0,48,National Lucknow Institute of Technology,Tier 2,2,AI_DS,5446,3.18,8.49,0
112,1156,SC,AI_DS,Uttar Pradesh,4.63,0,88,Vanguard Noida Institute of Technology,Tier 3,2,AI_DS,50046,2.86,7.53,1
113,23061,General,BIOTECH,Gujarat,1.86,1,64,Global Jaipur Institute of Technology,Tier 2,10,BIOTECH,2483,3.02,11.43,0
114,2689,OBC,CHE,Kerala,2.21,1,51,Pioneer Indore Polytechnic & Tech Campus,Tier 3,8,CHE,21359,1.88,6.82,1
115,7735,General,CHE,Punjab,1.31,1,7,IIT Guwahati,Tier 1,8,CHE,265,2.2,19.5,0
116,6678,General,CHE,Tamil Nadu,2.22,0,49,Summit Noida College of Engineering,Tier 2,8,CHE,2357,4.22,7.7,0
117,4279,EWS,BIOTECH,Karnataka,1.54,1,60,Global Bengaluru College of Engineering,Tier 3,10,BIOTECH,17190,2.01,8.0,1
118,1156,OBC,CSE,Madhya Pradesh,2.85,0,56,Vanguard Chandigarh Institute of Technology,Tier 3,1,CSE,25742,1.44,5.56,1
119,33521,SC,CE,Maharashtra,4.28,0,80,Vanguard Lucknow Institute of Technology,Tier 3,7,CE,39036,1.36,4.66,1
120,908,OBC,CE,Punjab,3.44,0,101,Zenith Noida Institute of Technology,Tier 3,7,CE,19161,2.7,5.23,1
121,2325,ST,CSE,Maharashtra,4.39,0,57,Zenith Noida College of Engineering,Tier 3,1,CSE,71164,2.66,6.45,1
122,4440,EWS,BIOTECH,West Bengal,1.15,0,36,Pioneer Bhubaneswar Institute of Technology,Tier 3,10,BIOTECH,17735,1.76,5.58,1
123,7147,SC,IT,Maharashtra,2.31,1,81,Apex Chandigarh College of Engineering,Tier 3,4,IT,54946,1.46,6.36,1
124,16807,OBC,CHE,Uttarakhand,4.7,0,20,PSG College of Technology,Tier 2,8,CHE,4728,1.65,12.5,0
125,6022,General,CHE,Punjab,4.86,0,83,Zenith Pune College of Engineering,Tier 2,8,CHE,2590,3.1,10.72,0
126,19441,ST,ME,Telangana,1.91,1,80,Vanguard Lucknow Institute of Technology,Tier 3,6,ME,63541,1.36,4.66,1
127,8080,General,IT,West Bengal,5.37,1,95,Zenith Chandigarh College of Engineering,Tier 3,4,IT,17299,2.22,8.46,1
128,23115,OBC,ECE,Delhi,2.94,0,119,Horizon Noida University of Engineering,Tier 3,3,ECE,27125,2.63,7.38,1
129,1335,General,BIOTECH,Uttarakhand,2.54,0,41,Summit Hyderabad Institute of Technology,Tier 3,10,BIOTECH,12139,2.95,4.93,1
130,17558,General,ME,Maharashtra,4.27,0,92,Apex Ahmedabad University of Engineering,Tier 2,6,ME,2184,2.75,7.72,0
131,3029,General,ME,Maharashtra,3.71,0,31,Metropolitan Bhubaneswar Institute of Technology,Tier 3,6,ME,11171,1.52,7.46,1
132,2325,General,CSE,Maharashtra,5.48,0,29,SSN College of Engineering,Tier 2,1,CSE,3184,1.8,10.5,1
133,10009,General,ECE,Rajasthan,2.95,0,51,Pioneer Indore Polytechnic & Tech Campus,Tier 3,3,ECE,14210,1.88,6.82,1
134,6087,OBC,EEE,Assam,1.55,1,93,Metropolitan Indore Institute of Technology,Tier 3,5,EEE,23863,2.21,4.71,1
135,9770,OBC,CE,Uttar Pradesh,2.11,0,5,IIT Kanpur,Tier 1,7,CE,419,2.4,23.0,0
136,2561,OBC,CSE,Delhi,4.41,0,9,IIIT Hyderabad,Tier 1,1,CSE,523,3.8,31.0,0
137,9022,OBC,ME,Odisha,1.39,0,40,Summit Chandigarh University of Engineering,Tier 2,6,ME,4614,2.73,10.5,0
138,10267,SC,AERO,Maharashtra,5.78,1,131,Global Indore Institute of Technology,Tier 3,9,AERO,51110,3.37,7.63,1
139,14904,General,BIOTECH,Assam,3.23,1,59,Metropolitan Pune College of Engineering,Tier 2,10,BIOTECH,2259,3.67,8.01,0
140,3844,OBC,CE,West Bengal,4.49,1,103,National Jaipur Polytechnic & Tech Campus,Tier 2,7,CE,4236,3.15,9.12,1
141,4223,EWS,CSE,Rajasthan,3.16,1,131,Global Indore Institute of Technology,Tier 3,1,CSE,22772,3.37,7.63,1
142,2909,EWS,AI_DS,Maharashtra,1.38,0,110,Summit Ahmedabad Polytechnic & Tech Campus,Tier 3,2,AI_DS,21052,3.02,5.11,1
143,34352,SC,ME,Assam,4.17,0,87,Global Kochi Institute of Technology,Tier 3,6,ME,41545,1.62,7.69,1
144,4960,OBC,BIOTECH,Gujarat,3.49,1,37,National Ahmedabad College of Engineering,Tier 2,10,BIOTECH,4183,3.3,11.15,0
145,5549,General,AI_DS,Telangana,1.68,1,83,Zenith Pune College of Engineering,Tier 2,2,AI_DS,2797,3.1,10.72,0
146,3556,SC,ECE,Uttar Pradesh,4.38,0,128,National Bengaluru University of Engineering,Tier 3,3,ECE,58311,3.01,7.82,1
147,16399,General,CSE,Kerala,5.4,0,119,Horizon Noida University of Engineering,Tier 3,1,CSE,15001,2.63,7.38,1
148,20652,OBC,CE,Maharashtra,4.92,1,113,National Jaipur Institute of Technology,Tier 3,7,CE,19257,3.32,7.49,0
149,13762,General,CSE,Karnataka,4.61,0,127,National Ahmedabad Polytechnic & Tech Campus,Tier 3,1,CSE,15602,1.48,6.32,1
150,12995,ST,AI_DS,Karnataka,4.19,0,79,Horizon Ahmedabad Polytechnic & Tech Campus,Tier 3,2,AI_DS,76067,3.22,8.3,1
151,3924,OBC,AI_DS,Delhi,5.73,0,73,Summit Ahmedabad Polytechnic & Tech Campus,Tier 3,2,AI_DS,25356,2.91,5.54,1
152,18560,EWS,BIOTECH,Kerala,4.35,0,92,Apex Ahmedabad University of Engineering,Tier 2,10,BIOTECH,3330,2.75,7.72,0
153,8987,General,BIOTECH,Karnataka,5.89,1,85,Apex Indore Polytechnic & Tech Campus,Tier 3,10,BIOTECH,11053,3.42,7.73,0
154,15322,General,BIOTECH,Gujarat,2.87,1,67,Imperial Noida University of Engineering,Tier 3,10,BIOTECH,12045,2.48,7.16,0
155,5502,General,IT,Telangana,4.25,0,10,NIT Trichy,Tier 1,4,IT,348,1.8,17.5,0
156,3474,General,BIOTECH,West Bengal,4.69,0,112,Global Noida Polytechnic & Tech Campus,Tier 2,10,BIOTECH,2393,4.2,9.02,0
157,4573,General,CHE,Uttar Pradesh,1.99,0,93,Metropolitan Indore Institute of Technology,Tier 3,8,CHE,12636,2.21,4.71,1
158,10747,EWS,CE,Madhya Pradesh,3.12,1,58,Pioneer Kochi Institute of Technology,Tier 2,7,CE,2903,2.76,8.15,0
159,12500,EWS,IT,Punjab,4.52,0,94,Summit Kochi Institute of Technology,Tier 2,4,IT,4583,4.12,7.84,0
160,13445,SC,IT,Telangana,4.47,1,60,Global Bengaluru College of Engineering,Tier 3,4,IT,58345,2.01,8.0,1
161,2990,OBC,CSE,Madhya Pradesh,4.13,0,78,Apex Indore Institute of Technology,Tier 3,1,CSE,26740,2.72,6.21,1
162,20323,General,AERO,Telangana,3.39,0,20,PSG College of Technology,Tier 2,9,AERO,3146,1.65,12.5,0
163,12995,General,ECE,Uttar Pradesh,2.89,0,135,Pioneer Bhubaneswar University of Engineering,Tier 3,3,ECE,15457,2.29,4.84,1
164,4999,General,CE,West Bengal,3.08,1,127,National Ahmedabad Polytechnic & Tech Campus,Tier 3,7,CE,11243,1.48,6.32,1
165,2603,EWS,ME,Rajasthan,2.4,1,65,Imperial Ahmedabad Institute of Technology,Tier 3,6,ME,15408,1.64,6.24,1
166,1583,General,CE,Odisha,2.97,1,26,College of Engg Guindy,Tier 2,7,CE,2152,0.35,12.0,0
167,8109,OBC,AERO,West Bengal,2.16,0,26,College of Engg Guindy,Tier 2,9,AERO,5626,0.35,12.0,0
168,904,General,EEE,Telangana,1.71,1,33,Imperial Hyderabad University of Engineering,Tier 3,5,EEE,12708,3.4,4.87,1
169,26669,SC,ME,Uttar Pradesh,1.23,0,39,Apex Chennai Polytechnic & Tech Campus,Tier 2,6,ME,7917,4.22,8.14,0
170,7319,SC,CSE,Gujarat,2.65,1,95,Zenith Chandigarh College of Engineering,Tier 3,1,CSE,53749,2.22,8.46,1
171,8424,General,CHE,Telangana,3.5,1,125,Summit Kochi University of Engineering,Tier 3,8,CHE,13098,2.87,7.12,1
172,2712,SC,IT,West Bengal,5.11,1,68,Pioneer Chandigarh Polytechnic & Tech Campus,Tier 2,4,IT,11674,2.92,9.93,1
173,8070,General,AI_DS,Uttar Pradesh,1.02,0,125,Summit Kochi University of Engineering,Tier 3,2,AI_DS,13829,2.87,7.12,1
174,2354,General,AI_DS,Madhya Pradesh,3.49,1,46,National Bhubaneswar College of Engineering,Tier 2,2,AI_DS,3127,4.22,8.45,1
175,42316,General,ECE,Uttarakhand,5.74,1,55,Vanguard Chennai University of Engineering,Tier 3,3,ECE,16070,3.23,5.98,0
176,7280,General,AERO,Delhi,1.5,1,87,Global Kochi Institute of Technology,Tier 3,9,AERO,14741,1.62,7.69,1
177,680,ST,AERO,Uttar Pradesh,1.7,1,40,Summit Chandigarh University of Engineering,Tier 2,9,AERO,15201,2.73,10.5,1
178,6061,General,ME,Uttarakhand,4.49,0,69,Summit Jaipur College of Engineering,Tier 2,6,ME,2330,3.83,7.87,0
179,1271,General,ECE,Delhi,5.99,1,58,Pioneer Kochi Institute of Technology,Tier 2,3,ECE,3353,2.76,8.15,1
180,14868,SC,ECE,Punjab,1.76,0,115,Apex Chandigarh College of Engineering,Tier 3,3,ECE,56823,3.2,5.46,1
181,17700,General,IT,Telangana,3.79,1,54,Apex Kochi University of Engineering,Tier 3,4,IT,15299,2.93,6.33,0
182,23665,OBC,CHE,Uttar Pradesh,1.36,1,59,Metropolitan Pune College of Engineering,Tier 2,8,CHE,4725,3.67,8.01,0
183,1754,General,CE,Maharashtra,5.47,0,65,Imperial Ahmedabad Institute of Technology,Tier 3,7,CE,11220,1.64,6.24,1
184,7475,OBC,AI_DS,Kerala,1.72,0,68,Pioneer Chandigarh Polytechnic & Tech Campus,Tier 2,2,AI_DS,4970,2.92,9.93,0
185,13494,General,ME,Uttarakhand,2.51,0,74,Summit Jaipur College of Engineering,Tier 3,6,ME,12783,2.84,5.84,1
186,2202,OBC,CE,Karnataka,2.75,0,45,Global Kochi Polytechnic & Tech Campus,Tier 3,7,CE,20414,1.72,6.85,1
187,19507,SC,AI_DS,Gujarat,3.18,0,38,Imperial Indore Polytechnic & Tech Campus,Tier 3,2,AI_DS,47993,1.77,5.55,1
188,10257,General,ECE,Karnataka,3.83,1,132,National Bengaluru Polytechnic & Tech Campus,Tier 3,3,ECE,14981,1.45,6.27,1
189,1554,SC,CHE,Gujarat,3.0,1,113,National Jaipur Institute of Technology,Tier 3,8,CHE,44587,3.32,7.49,1
190,11643,SC,ME,Punjab,3.53,1,76,National Lucknow Polytechnic & Tech Campus,Tier 3,6,ME,41175,2.01,7.91,1
191,14103,SC,CE,Odisha,4.65,1,125,Summit Kochi University of Engineering,Tier 3,7,CE,38239,2.87,7.12,1
192,2006,General,ME,Uttar Pradesh,5.02,0,59,Metropolitan Pune College of Engineering,Tier 2,6,ME,2436,3.67,8.01,1
193,2629,SC,CE,Karnataka,1.31,1,125,Summit Kochi University of Engineering,Tier 3,7,CE,38239,2.87,7.12,1
194,2568,General,CSE,Punjab,4.57,0,90,Global Jaipur University of Engineering,Tier 3,1,CSE,15974,1.78,5.27,1
195,5623,OBC,EEE,Uttar Pradesh,4.29,0,1,IIT Bombay,Tier 1,5,EEE,526,2.5,24.5,0
196,2051,SC,IT,Telangana,3.63,1,12,VNIT Nagpur,Tier 1,4,IT,1198,1.75,13.5,0
197,32956,EWS,AI_DS,Odisha,3.47,0,135,Pioneer Bhubaneswar University of Engineering,Tier 3,2,AI_DS,19297,2.29,4.84,0
198,12103,General,IT,Karnataka,3.35,0,39,Apex Chennai Polytechnic & Tech Campus,Tier 2,4,IT,3355,4.22,8.14,0
199,3058,General,CHE,Gujarat,1.38,0,65,Imperial Ahmedabad Institute of Technology,Tier 3,8,CHE,12760,1.64,6.24,1
200,18661,General,EEE,Assam,5.14,1,98,Horizon Chandigarh Polytechnic & Tech Campus,Tier 2,5,EEE,2745,3.8,10.81,0
201,5423,OBC,EEE,Madhya Pradesh,4.79,1,23,Manipal Institute of Technology,Tier 2,5,EEE,4577,3.85,11.5,0
202,2993,OBC,AERO,Uttarakhand,4.15,0,125,Summit Kochi University of Engineering,Tier 3,9,AERO,26681,2.87,7.12,1
203,28489,OBC,ME,Maharashtra,5.12,0,22,SRM Institute of Science and Technology,Tier 2,6,ME,4133,2.6,8.5,0
204,6738,OBC,BIOTECH,Gujarat,1.36,1,104,Summit Jaipur Polytechnic & Tech Campus,Tier 2,10,BIOTECH,4402,3.22,10.0,0
